FID;CATEGORY;UNIQUENESS;NAME
MUSEUMOGD.54151;Kunst & Literatur;0.6;Lehár-Schikaneder-Schlössl
MUSEUMOGD.54152;Kunst & Literatur;0.2;Secession
MUSEUMOGD.54153;Kunst & Literatur;0.5;Village-Galerie (beim Hundertwasser-Haus)
MUSEUMOGD.54154;Kunst & Literatur;0.15;Albertina
MUSEUMOGD.54155;Handwerk;0.6;Architekturzentrum Wien
MUSEUMOGD.54166;Geschichte;0.6;Gedenkstätte Steinhof (Zur Geschichte der NS-Medizin in Wien )
MUSEUMOGD.54167;Geschichte;0.4;Dokumentationsarchiv des österreichischen Widerstandes
MUSEUMOGD.54168;Geschichte;0.5;Dom- und Diözesanmuseum
MUSEUMOGD.54169;;;Ernst Fuchs Museum
MUSEUMOGD.54170;;;Generali Foundation
MUSEUMOGD.54171;;;Arnold Schönberg Center
MUSEUMOGD.54172;;;Haus des Meeres
MUSEUMOGD.54173;;;Heeresgeschichtliches Museum
MUSEUMOGD.54174;;;Jüdisches Museum
MUSEUMOGD.54175;;;Kunst Haus Wien - Museum Hundertwasser
MUSEUMOGD.54176;;;Kunsthalle Wien
MUSEUMOGD.54177;;;Kunsthalle Wien (project space)
MUSEUMOGD.54178;;;Weltmuseum Wien
MUSEUMOGD.54179;;;Österreichisches Theatermuseum
MUSEUMOGD.54180;;;Künstlerhaus
MUSEUMOGD.54181;;;K&K Weinschatzkammer
MUSEUMOGD.54182;;;Kaiser Franz Joseph Hutmuseum
MUSEUMOGD.54183;;;Leopold Museum
MUSEUMOGD.54184;;;MAK - Österreichisches Museum für angewandte Kunst/Gegenwartskunst
MUSEUMOGD.54185;;;Museum der Mechitharistenkongregation
MUSEUMOGD.54186;;;Sammlungen der Medizinischen Universität Wien (Josephinum)
MUSEUMOGD.54187;;;MOYA - Museum Of Young Art
MUSEUMOGD.54188;;;Mozarthaus Vienna
MUSEUMOGD.54189;;;Museum Moderner Kunst Stiftung Ludwig Wien (mumok)
MUSEUMOGD.54190;;;MuseumsQuartier
MUSEUMOGD.54191;;;Pathologisch-anatomisches Bundesmuseum (Narrenturm)
MUSEUMOGD.54192;;;Belvedere - Oberes Belvedere (Barockmuseum)
MUSEUMOGD.54193;;;Belvedere - Unteres Belvedere
MUSEUMOGD.54194;;;Österreichisches Gesellschafts- und Wirtschaftsmuseum
MUSEUMOGD.54195;;;Österreichische Nationalbibliothek, Prunksaal
MUSEUMOGD.54196;;;Österreichisches Museum für Volkskunde
MUSEUMOGD.54197;;;Esperantomuseum
MUSEUMOGD.54198;;;Globenmuseum
MUSEUMOGD.54199;;;Kartensammlung
MUSEUMOGD.54200;;;Grillparzer-Gedenkzimmer
MUSEUMOGD.54201;;;Österreichisches Staatsarchiv
MUSEUMOGD.54202;;;Österreichisches Volksliedwerk
MUSEUMOGD.54203;;;St. Jakobs-Kirche Heiligenstadt
MUSEUMOGD.54204;;;Lichtentaler Pfarrmuseum
MUSEUMOGD.54205;;;Looshaus
MUSEUMOGD.54206;;;Hofmobiliendepot - Möbel Museum Wien
MUSEUMOGD.54207;;;Schloß Schönbrunn (Museum)
MUSEUMOGD.54208;;;Museum im Schottenstift
MUSEUMOGD.54209;;;Sigmund Freud Museum
MUSEUMOGD.54210;;;Sondermuseum Aspern Essling 1809
MUSEUMOGD.54211;;;MUSA MUSEUM (Startgalerie Artothek)
MUSEUMOGD.54212;;;Rathaus (Führungen)
MUSEUMOGD.54213;;;Technisches Museum
MUSEUMOGD.54214;;;Botanischer Garten der Universität Wien
MUSEUMOGD.54215;;;Sammlung des Institutes für Ur- und Frühgeschichte
MUSEUMOGD.54216;;;Erstes Wiener Schulmuseum
MUSEUMOGD.54217;;;Archiv und Sammlung für Geschichte der Arbeiterbewegung
MUSEUMOGD.54218;;;Das Sprachinselmuseum
MUSEUMOGD.54219;;;WestLicht. Schauplatz für Fotografie
MUSEUMOGD.54220;;;Haus der Musik - Das Klangmuseum
MUSEUMOGD.54221;;;Beethoven Wohnung Heiligenstadt
MUSEUMOGD.54222;;;Wiener Arbeitsgemeinschaft für Astronomie (WAA)
MUSEUMOGD.54223;;;Staatsopernmuseum
MUSEUMOGD.54224;;;Friedhof St. Marx (Biedermeierfriedhof)
MUSEUMOGD.54225;;;Grabdenkmalhain Waldmüllerpark
MUSEUMOGD.54226;;;Österreichisches Gartenbaumuseum
MUSEUMOGD.54227;;;Wiener Volksliedwerk - Bockkeller
MUSEUMOGD.54228;;;Adalbert-Stifter-Gedenkraum
MUSEUMOGD.54229;;;Beethoven Eroicahaus
MUSEUMOGD.54230;;;Beethoven Pasqualatihaus
MUSEUMOGD.54231;;;Haydnhaus (mit Brahms-Gedenkraum)
MUSEUMOGD.54232;;;Johann Strauß Wohnung
MUSEUMOGD.54233;;;Neidhart-Fresken
MUSEUMOGD.54234;;;Pratermuseum
MUSEUMOGD.54235;;;Römermuseum
MUSEUMOGD.54236;;;Schubert Geburtshaus
MUSEUMOGD.54237;;;Schubert Sterbewohnung
MUSEUMOGD.54238;;;Artothek (Bildleihstelle)
MUSEUMOGD.54239;;;Gesellschaft der Musikfreunde in Wien (Archiv, Bibliothek und Sammlungen)
MUSEUMOGD.54240;;;1. Wiener Fischereimuseum des Verbandes der Österreichischen Arbeiter-Fischerei-Vereine
MUSEUMOGD.54241;;;Johanneskirche Unterlaa (Ausgrabungen und Schauraum)
MUSEUMOGD.54242;;;Votivkirche (Museum)
MUSEUMOGD.54243;;;Palmenhaus Schönbrunn
MUSEUMOGD.54244;;;Lobaumuseum
MUSEUMOGD.54245;;;Papyrusmuseum
MUSEUMOGD.54246;;;Schmetterlinghaus
MUSEUMOGD.54247;;;Silberkammer
MUSEUMOGD.54248;;;Museum Judenplatz
MUSEUMOGD.54249;;;Kahlenbergermuseum
MUSEUMOGD.54250;;;Sammlung alter Musikinstrumente
MUSEUMOGD.54251;;;Ephesos Museum
MUSEUMOGD.54252;;;Hofjagd- und Rüstkammer
MUSEUMOGD.54253;;;Kunsthistorisches Museum
MUSEUMOGD.54254;;;Wagenburg und Monturdepot
MUSEUMOGD.54255;;;Weltliche Schatzkammer
MUSEUMOGD.54256;;;Naturhistorisches Museum
MUSEUMOGD.54257;;;Restituta-Dokumentation - Glaube gegen NS-Gewalt
MUSEUMOGD.54258;;;Flugblätter-, Plakate- und Exlibris-Sammlung
MUSEUMOGD.54259;;;Vereinsmuseum des Wiener Männergesang-Vereins
MUSEUMOGD.54260;;;Kaiserappartements
MUSEUMOGD.54261;;;Sisi Museum
MUSEUMOGD.54262;;;Tiergarten Schönbrunn
MUSEUMOGD.54263;;;Eßlinger Schüttkasten
MUSEUMOGD.54264;;;Klimt-Atelier Hietzing
MUSEUMOGD.54265;;;Ausgrabungen Michaelerplatz
MUSEUMOGD.54266;;;Hermesvilla
MUSEUMOGD.54267;;;Otto Wagner Hofpavillon Hietzing
MUSEUMOGD.54268;;;Otto Wagner Pavillon Karlsplatz
MUSEUMOGD.54269;;;Römische Baureste am Hof
MUSEUMOGD.54270;;;Virgilkapelle
MUSEUMOGD.54271;;;Wiener Hofmusikkapelle (Hofburgkapelle)
MUSEUMOGD.54272;;;Condomi-Museum
MUSEUMOGD.54273;;;K.u.K. Hofzuckerbäckerei Demel
MUSEUMOGD.54274;;;Augustinerkirche
MUSEUMOGD.54275;;;Designforum
MUSEUMOGD.54276;;;Riesenrad
MUSEUMOGD.54277;;;Madame Tussauds
MUSEUMOGD.54278;;;Spanische Hofreitschule
MUSEUMOGD.54279;;;Circus- und Clownmuseum Wien
MUSEUMOGD.54280;;;Erstes österreichisches Pflegemuseum
MUSEUMOGD.54281;;;ORF-Backstage Führungen
MUSEUMOGD.54282;;;Fälschermuseum
MUSEUMOGD.54283;;;Marktamtsmuseum
MUSEUMOGD.54284;;;Sparefroh-Haus im Bezirksmuseum Alsergrund
MUSEUMOGD.54285;;;Zauberkasten Museum
MUSEUMOGD.54286;;;Islamisches Zentrum (Moschee)
MUSEUMOGD.54287;;;Karlskirche
MUSEUMOGD.54288;;;OTTO WagnerKirche am Steinhof
MUSEUMOGD.54289;;;Kirche zur Heiligsten Dreifaltigkeit
MUSEUMOGD.54290;;;Michaelerkirche
MUSEUMOGD.54291;;;Wagner: Werk Museum Postsparkasse
MUSEUMOGD.54292;;;Wittgenstein-Haus
MUSEUMOGD.54293;;;Planetarium
MUSEUMOGD.54294;;;Stephansdom
MUSEUMOGD.54295;;;Zentralfriedhof (Ehrengräber)
MUSEUMOGD.54296;;;Ankeruhr
